City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
181,Ahipara,NZ,2021-06-03 03:06:55,-35.1667,173.1667,60.69,57,100,4.94
182,Luderitz,NA,2021-06-03 03:06:55,-26.6481,15.1594,65.61,28,4,24.45
183,Ixtapa,MX,2021-06-03 03:06:56,20.7,-105.2,82.22,79,84,3.0
184,Maneadero,MX,2021-06-03 03:06:56,31.7167,-116.5667,64.09,81,100,1.99
185,Hamilton,US,2021-06-03 03:05:37,39.1834,-84.5333,66.06,97,90,5.17
186,San Cristobal,VE,2021-06-03 03:06:57,7.7669,-72.225,66.79,98,97,0.34
187,Nishihara,JP,2021-06-03 03:06:58,26.1842,127.7558,89.26,77,75,11.54
188,Bam,IR,2021-06-03 03:06:59,29.106,58.357,96.44,7,0,5.77
189,Qasigiannguit,GL,2021-06-03 03:06:59,68.8193,-51.1922,43.05,72,9,4.47
190,Pisco,PE,2021-06-03 03:07:00,-13.7,-76.2167,65.01,82,90,6.91
191,Vitoria Da Conquista,BR,2021-06-03 03:07:01,-14.8661,-40.8394,59.7,92,5,5.21
192,Mareeba,AU,2021-06-03 03:07:01,-17.0,145.4333,83.32,61,63,1.28
193,Puqi,CN,2021-06-03 03:07:02,29.7167,113.8833,66.92,92,100,12.88
194,Silikatnyy,RU,2021-06-03 03:07:03,53.9896,48.3275,54.72,78,98,13.82
195,Sistranda,NO,2021-06-03 03:07:03,63.7256,8.834,55.9,77,21,1.36
196,Quijingue,BR,2021-06-03 03:07:04,-10.7525,-39.2092,69.3,97,100,4.45
197,Chokurdakh,RU,2021-06-03 03:07:05,70.6333,147.9167,72.37,20,89,10.87
198,Challapata,BO,2021-06-03 03:07:06,-18.9,-66.7667,42.67,25,98,2.71
199,Trinidad,BO,2021-06-03 03:07:07,-14.8333,-64.9,72.91,78,15,1.61
200,Saint-Augustin,CA,2021-06-03 03:07:08,51.226,-58.6502,51.08,82,61,4.27
201,Joutseno,FI,2021-06-03 03:07:08,61.118,28.5076,53.65,75,55,4.99
202,Dikson,RU,2021-06-03 03:07:09,73.5069,80.5464,32.36,94,100,6.49
203,Faanui,PF,2021-06-03 03:07:09,-16.4833,-151.75,80.65,75,8,14.47
204,Pitelino,RU,2021-06-03 03:07:10,54.5777,41.8145,50.38,82,7,12.28
205,Lano,NG,2021-06-03 03:07:11,10.1725,11.4715,83.26,55,84,7.14
206,Goderich,CA,2021-06-03 03:07:11,43.7501,-81.7165,61.56,97,100,8.48
207,Nome,US,2021-06-03 03:07:12,64.5011,-165.4064,46.47,42,75,14.97
208,Fukue,JP,2021-06-03 03:07:12,32.6881,128.8419,69.62,97,100,28.25
209,Mersing,MY,2021-06-03 03:07:13,2.4312,103.8405,87.51,66,35,7.58
210,Cheremukhovo,RU,2021-06-03 03:07:14,60.3484,59.9851,49.89,54,82,9.1
211,Arcata,US,2021-06-03 03:05:45,40.8665,-124.0828,58.17,78,90,1.01
212,Svetlyy,RU,2021-06-03 03:07:15,54.675,20.1347,48.25,71,71,6.15
213,Hasaki,JP,2021-06-03 03:07:15,35.7333,140.8333,81.28,68,31,10.83
214,Punta Umbria,ES,2021-06-03 03:07:16,37.1821,-6.9661,63.23,62,66,10.85
215,Gazanjyk,TM,2021-06-03 03:07:17,39.2446,55.5154,96.96,12,0,5.88
216,Payo,ID,2021-06-03 03:07:17,-3.7508,103.6372,86.56,63,82,2.55
217,Shache,CN,2021-06-03 03:07:18,38.4167,77.2406,79.2,27,72,6.76
218,Sioux Lookout,CA,2021-06-03 03:07:19,50.1001,-91.917,59.04,87,83,5.88
